model,horizon,precision,recall,f1,pr_auc,roc_auc_secondary,brier_score,calibration_verdict,false_positives_per_true_positive,median_warning_lead_time_days,n_episodes_total,n_early_warning,stress_pr_auc,stress_recall
historical_threshold_baseline,7,0.18458197611292074,0.9883720930232558,0.3110704483074108,0.18071276838758446,0.47617238224530756,0.19841003701762513,overconfident (predicted probabilities systematically higher than observed frequency),4.41764705882353,7.0,31,26,0.17531381770851667,0.9782608695652174
logistic_regression,7,0.20625889046941678,0.8430232558139535,0.3314285714285714,0.22575601629491526,0.5908098217447764,0.2619452333344368,overconfident (predicted probabilities systematically higher than observed frequency),3.8482758620689657,7.0,31,24,0.4109467370288909,0.4673913043478261
random_forest,7,0.22437137330754353,0.6744186046511628,0.3367198838896952,0.26227758860818495,0.5951702868610554,0.20105746038043323,overconfident (predicted probabilities systematically higher than observed frequency),3.456896551724138,7.0,31,15,0.2804606556180814,0.532608695652174
xgboost,7,0.2182741116751269,0.75,0.3381389252948886,0.22102105005659634,0.5738106480934955,0.2003461867570877,overconfident (predicted probabilities systematically higher than observed frequency),3.5813953488372094,7.0,31,17,0.3053837236180704,0.6413043478260869
historical_threshold_baseline,14,0.2073684210526316,0.9949494949494949,0.343205574912892,0.2108056617958653,0.473753280839895,0.21017204858107147,overconfident (predicted probabilities systematically higher than observed frequency),3.8223350253807107,14.0,29,25,0.2645342230482455,0.9805825242718447
logistic_regression,14,0.27702702702702703,0.6212121212121212,0.38317757009345793,0.3010984333289018,0.6428391526816724,0.24685102571890555,overconfident (predicted probabilities systematically higher than observed frequency),2.6097560975609757,12.0,29,14,0.3363574751437137,0.33980582524271846
random_forest,14,0.24440619621342513,0.7171717171717171,0.3645699614890886,0.3698027274838494,0.6531986531986531,0.20258412351663255,overconfident (predicted probabilities systematically higher than observed frequency),3.091549295774648,14.0,29,14,0.3032469833082851,0.6699029126213593
xgboost,14,0.25684210526315787,0.6161616161616161,0.362555720653789,0.26915628956925775,0.6200124605636417,0.22188355028629303,overconfident (predicted probabilities systematically higher than observed frequency),2.8934426229508197,10.0,29,11,0.30974584571762287,0.3786407766990291
historical_threshold_baseline,30,0.25182863113897597,1.0,0.4023372287145242,0.25708403818683706,0.4735253550632217,0.23476470238293376,overconfident (predicted probabilities systematically higher than observed frequency),2.970954356846473,30.0,25,19,0.22132951724666503,1.0
logistic_regression,30,0.45526315789473687,0.7178423236514523,0.5571658615136876,0.48609554358046714,0.7746639812094945,0.22055492969047955,overconfident (predicted probabilities systematically higher than observed frequency),1.1965317919075145,16.0,25,6,0.3693381201691915,0.3380281690140845
random_forest,30,0.5018867924528302,0.5518672199170125,0.525691699604743,0.6033362594448903,0.7705896271331205,0.18785575700374177,overconfident (predicted probabilities systematically higher than observed frequency),0.9924812030075187,7.0,25,3,0.47638441439374646,0.4507042253521127
xgboost,30,0.43719806763285024,0.7510373443983402,0.5526717557251909,0.46706155318110354,0.7612607413477686,0.2107217162847519,overconfident (predicted probabilities systematically higher than observed frequency),1.287292817679558,12.0,25,7,0.3991770214920882,0.5070422535211268
