merchant_id,as_of_date,day_index,horizon_days,future_chargeback_amount,future_chargeback_rate,future_transaction_count,baseline_daily_gmv_trailing,baseline_daily_chargeback_amount_trailing,baseline_chargeback_rate_trailing,elevation_ratio_amount,elevation_ratio_rate,label_elevated_chargeback
M0000,2024-01-01,0,7,2573.3939188510303,0.023529411764705882,85,11080.998112633537,0.0,0.0,2573.3939188510303,235.2941176470588,1
M0000,2024-01-01,0,14,2573.3939188510303,0.012987012987012988,154,11080.998112633537,0.0,0.0,2573.3939188510303,129.87012987012986,1
M0000,2024-01-01,0,30,8078.02115833375,0.02097902097902098,286,11080.998112633537,0.0,0.0,8078.02115833375,209.7902097902098,1
M0000,2024-01-02,1,7,2573.3939188510303,0.023255813953488372,86,12052.558528727372,0.0,0.0,2573.3939188510303,232.5581395348837,1
M0000,2024-01-02,1,14,4073.3835173083635,0.0196078431372549,153,12052.558528727372,0.0,0.0,4073.3835173083635,196.078431372549,1
M0000,2024-01-02,1,30,8078.02115833375,0.020833333333333332,288,12052.558528727372,0.0,0.0,8078.02115833375,208.33333333333331,1
M0000,2024-01-03,2,7,2573.3939188510303,0.023255813953488372,86,12428.345342138384,0.0,0.0,2573.3939188510303,232.5581395348837,1
M0000,2024-01-03,2,14,5389.669117927321,0.025974025974025976,154,12428.345342138384,0.0,0.0,5389.669117927321,259.7402597402597,1
M0000,2024-01-03,2,30,8078.02115833375,0.020905923344947737,287,12428.345342138384,0.0,0.0,8078.02115833375,209.05923344947735,1
M0000,2024-01-04,3,7,1301.159787643738,0.012048192771084338,83,13324.194670916686,318.0585328018231,0.02631578947368421,0.5844206348622308,0.45783132530120485,0
M0000,2024-01-04,3,14,4117.434986720029,0.020134228187919462,149,13324.194670916686,318.0585328018231,0.02631578947368421,0.9246804242622881,0.7651006711409396,0
M0000,2024-01-04,3,30,6805.787027126457,0.017605633802816902,284,13324.194670916686,318.0585328018231,0.02631578947368421,0.7132635794186798,0.6690140845070424,0
M0000,2024-01-05,4,7,1301.159787643738,0.012658227848101266,79,14401.374350642178,254.4468262414585,0.018867924528301886,0.7305257935777885,0.6708860759493671,0
M0000,2024-01-05,4,14,5444.11526632625,0.027586206896551724,145,14401.374350642178,254.4468262414585,0.018867924528301886,1.5282775655340464,1.4620689655172414,0
M0000,2024-01-05,4,30,6805.787027126457,0.017921146953405017,279,14401.374350642178,254.4468262414585,0.018867924528301886,0.8915794742733496,0.9498207885304659,0
M0000,2024-01-06,5,7,1301.159787643738,0.012987012987012988,77,15238.358926685816,212.03902186788207,0.014925373134328358,0.8766309522933463,0.8701298701298702,0
M0000,2024-01-06,5,14,5444.11526632625,0.02877697841726619,139,15238.358926685816,212.03902186788207,0.014925373134328358,1.833933078640856,1.9280575539568348,1
M0000,2024-01-06,5,30,6805.787027126457,0.018315018315018316,273,15238.358926685816,212.03902186788207,0.014925373134328358,1.0698953691280197,1.2271062271062272,0
M0000,2024-01-07,6,7,0.0,0.0,70,16352.141973904098,367.6277026930043,0.024096385542168676,0.0,0.0,0
M0000,2024-01-07,6,14,4142.955478682512,0.022900763358778626,131,16352.141973904098,367.6277026930043,0.024096385542168676,0.8049594444779484,0.950381679389313,0
M0000,2024-01-07,6,30,5504.627239482719,0.01509433962264151,265,16352.141973904098,367.6277026930043,0.024096385542168676,0.4991124806572299,0.6264150943396226,0
M0000,2024-01-08,7,7,0.0,0.0,69,15847.463653884879,321.6742398563788,0.021739130434782608,0.0,0.0,0
M0000,2024-01-08,7,14,4142.955478682512,0.023255813953488372,129,15847.463653884879,321.6742398563788,0.021739130434782608,0.919953650831941,1.0697674418604652,0
M0000,2024-01-08,7,30,5504.627239482719,0.015209125475285171,263,15847.463653884879,321.6742398563788,0.021739130434782608,0.5704142636082626,0.6996197718631179,0
M0000,2024-01-09,8,7,1499.9895984573332,0.014925373134328358,67,15789.529218002814,285.9326576501145,0.0196078431372549,0.7494220146523434,0.7611940298507462,0
M0000,2024-01-09,8,14,4142.955478682512,0.023809523809523808,126,15789.529218002814,285.9326576501145,0.0196078431372549,1.0349478571859336,1.2142857142857142,0
M0000,2024-01-09,8,30,5504.627239482719,0.015444015444015444,259,15789.529218002814,285.9326576501145,0.0196078431372549,0.6417160465592955,0.7876447876447876,0
M0000,2024-01-10,9,7,2816.275199076291,0.029411764705882353,68,15685.960868513022,257.33939188510305,0.017857142857142856,1.5634024215736868,1.647058823529412,0
M0000,2024-01-10,9,14,4142.955478682512,0.024,125,15685.960868513022,257.33939188510305,0.017857142857142856,1.149942063539926,1.344,0
M0000,2024-01-10,9,30,5504.627239482719,0.01556420233463035,257,15685.960868513022,257.33939188510305,0.017857142857142856,0.7130178295103283,0.8715953307392996,0
