merchant_id,archetype,business_tier,signup_date,baseline_daily_gmv,baseline_daily_txn_count,baseline_aov,baseline_refund_rate,baseline_chargeback_rate,baseline_fulfillment_delay_days,baseline_on_time_rate,baseline_new_customer_rate,baseline_pct_pay_card,baseline_pct_pay_upi,baseline_pct_pay_netbanking,baseline_pct_pay_wallet,baseline_pct_pay_bnpl,annual_growth_rate,volatility_factor,liquidity_buffer_days,settlement_cycle_days,weekly_seasonality_profile
M0000,D2C Fashion,mid,2020-04-21,11073.322458195953,7.766641818882359,1425.7542341239878,0.1232755181245209,0.010345747849699941,3.7323493160632477,0.9076562292882399,0.5570055875380701,0.3051488906539902,0.3990151861870062,0.07125499735759107,0.11743899700570755,0.10714192879570518,0.1007826991357889,0.15610766117576585,5.417358527528259,2,weekend_heavy
M0001,D2C Fashion,mid,2021-11-30,16159.615666238877,8.338827939183197,1937.8761360822296,0.10485464696108304,0.01032499677409569,4.091477042949863,0.8240927178095552,0.5628615163976176,0.3419892471437978,0.35083906367524775,0.07727516696486643,0.11569458498016523,0.1142019372359227,0.2999492621265449,0.19623891732717114,8.836570874200994,4,weekend_heavy
M0002,D2C Fashion,mid,2023-04-05,22631.61536978016,11.441486067164279,1978.0311086275967,0.120489687283644,0.010855673275913722,4.551178588849357,0.9059127015543887,0.42224574466366166,0.3258078986494186,0.37279184287813255,0.06870000190578876,0.13339334266801461,0.09930691389864549,0.05478373152799458,0.18100457699440398,9.194019471772126,4,weekend_heavy
M0003,D2C Fashion,small,2021-01-07,9555.143094478764,8.440567809963332,1132.0497992089795,0.08796570672266786,0.006122827900932686,3.8298997460673343,0.8242560230027567,0.4251629551107331,0.3398002151160857,0.3551415246658934,0.07895347866431922,0.132445245938468,0.0936595356152337,0.38201608968688106,0.20215866337902832,8.838138204803009,2,weekend_heavy
M0004,D2C Fashion,mid,2020-11-11,26343.08139712985,19.160897156925213,1374.8354882020135,0.13500280924250288,0.00743818752727434,2.604375522603581,0.9046683670928285,0.4417194491190646,0.28725709064948707,0.4059879927413503,0.08296087555087553,0.12691042263110802,0.09688361842717923,0.08440431094390503,0.18446459845874247,8.603301166390525,2,weekend_heavy
M0005,D2C Fashion,large,2023-02-03,27361.253747678365,26.77898346197177,1021.7435544756008,0.11445514735306257,0.003776482796355808,4.126085350267391,0.9126918245044119,0.42597768396492947,0.32045634061385975,0.4008783921335509,0.07986948575438735,0.1058225719844637,0.09297320951373818,0.3085715024504469,0.20562909004385443,4.820137657302361,2,weekend_heavy
M0006,D2C Fashion,mid,2023-05-29,9458.864156988137,4.571384773013718,2069.146358632225,0.1080767985256389,0.003164186792706471,3.491633831856553,0.857221336084854,0.5654688251786307,0.358084885120609,0.330444283507777,0.08951372785605191,0.11292754745988663,0.1090295560556755,0.17589983617746224,0.10232837150358773,3.9336400232717237,2,weekend_heavy
M0007,Electronics,small,2020-03-31,23604.68595876741,4.516572175406275,5226.239068490945,0.03286001306911974,0.00870725035082692,1.8740055417313217,0.9330128979443565,0.43466877179882046,0.36456094458419647,0.3133044304441601,0.10066973107984764,0.08501121403796567,0.1364536798538301,0.34670618219393057,0.13438821349687846,10.163212599520275,4,weekend_heavy
M0008,Electronics,small,2020-05-24,9837.394173922596,1.6184761052613934,6078.183139029908,0.08156674907724033,0.009562721107196972,1.5266758034192618,0.8522354683960655,0.33525351337794135,0.34779126588807313,0.3352949318034871,0.09784932451254139,0.08572082327997611,0.13334365451592223,-0.01951766865046763,0.14284955786792344,4.513072338032231,2,weekend_heavy
M0009,Electronics,mid,2021-09-30,15620.254856507585,2.8402441001155934,5499.617042025319,0.05427045398910824,0.0157123511469551,1.7528054631069068,0.9123850611342084,0.33686660849739875,0.43183154397713663,0.26871277180209796,0.10196433484071939,0.08204087118727646,0.11545047819276967,0.2545873988480279,0.14775016357082257,9.583078133276107,4,weekend_heavy
M0010,Electronics,small,2021-05-30,24692.894923091655,9.703183892820112,2544.823966632561,0.07211824540136008,0.009990997709542074,3.33339711417247,0.8290087417237169,0.47212700289782117,0.41050153461681504,0.327066908422961,0.08653005571304491,0.06672094796301746,0.10918055328416165,0.10770203236248375,0.14208712863355458,6.906124008234918,5,weekend_heavy
M0011,Electronics,mid,2020-08-14,44571.357422764115,9.020549314415423,4941.091264978309,0.0785865076268775,0.006898725886005271,2.96455120822308,0.8935283284015155,0.3428999762824494,0.411626355212124,0.3083356501879727,0.08293009231017057,0.07901534342531341,0.11809255886441924,0.015909676560500276,0.14643912654022764,8.084825589554079,3,weekend_heavy
M0012,Electronics,small,2022-08-17,10024.078266613393,1.4749649692840643,6796.146671523323,0.06473382248787202,0.009362183826493887,2.4806886897920917,0.8954613342683592,0.4089101216438606,0.39266021292538544,0.2936909259132304,0.11867315632829532,0.07923991009180856,0.1157357947412803,0.026885352277444232,0.12383643894552816,7.579512351514761,3,weekend_heavy
M0013,Electronics,small,2020-12-22,29233.020289406577,8.02522662653284,3642.6410928704445,0.05053943556518456,0.01378858455025679,2.0388566791907525,0.9012739009666749,0.2857571219235124,0.38624539079317277,0.2945543670662353,0.12157604054127932,0.08137962440973645,0.11624457718957616,0.2872251268274965,0.1732120873664262,7.884555426418239,2,weekend_heavy
M0014,SaaS,mid,2021-07-11,15917.929265827199,10.267161528532533,1550.3729264988315,0.00557065553790156,0.0035497872030876222,0.04477496376690076,0.9749671048223014,0.08552465782333454,0.549085387174189,0.19830539719139073,0.15123283378215632,0.05561590675776811,0.045760475094496,0.37422857670132226,0.10256989088188269,20.95946016486105,2,weekday_heavy
M0015,SaaS,mid,2023-05-18,14760.28441010604,3.256969999314517,4531.906776302079,0.017963952597337282,0.0020102789023768216,0.03640628353199467,0.9745969025592438,0.21369397935161624,0.5664305071391329,0.1947775133192367,0.1434750170674527,0.0514097029250756,0.043907259549101796,0.2683518247139071,0.06295856444075153,10.059026194225622,3,weekday_heavy
M0016,SaaS,mid,2020-11-30,9235.722452281701,4.270628004180367,2162.61459514647,0.006823021585295334,0.002551001134315714,0.14656820053866412,0.9633304337630153,0.1795180940010455,0.5674883611534847,0.18233285689122358,0.14904927219440134,0.044936468840495535,0.05619304092039506,0.5486753209189781,0.0828874996635504,21.863797873954653,1,weekday_heavy
M0017,SaaS,mid,2023-09-14,9009.492697964959,3.80336185216013,2368.8234378351335,0.01103628266822975,0.004523595434870837,0.19220353290196585,0.992555821086585,0.10522590115283449,0.5551498037885529,0.2156623913987731,0.13457208245027066,0.040896262065152504,0.05371946029725084,0.45518322989856375,0.11815039393748994,9.441932006569159,1,weekday_heavy
