event_id,merchant_id,event_type,category,hard_negative,shape,start_date,end_date,recovery_end_date,duration_days,severity_score,affects,description
E0000000,M0000,payment_method_shift,benign_growth,True,gradual,2024-01-27,2024-02-27,2024-03-05,31,0.36567945591008527,"payment_mix,gmv","payment method shift (gradual onset, benign growth (hard negative))"
E0000001,M0000,festival_growth,benign_growth,True,sudden,2024-03-24,2024-04-10,2024-04-18,17,0.5194446037203839,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0000002,M0000,refund_shock,risk,False,sudden,2024-04-30,2024-05-05,2024-05-17,5,0.9740890321053456,refund_rate,"refund shock (sudden onset, risk)"
E0001000,M0001,compound_risk,risk,False,gradual,2024-02-21,2024-04-05,2024-04-23,44,0.6509499239914298,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0001001,M0001,festival_growth,benign_growth,True,sudden,2024-05-10,2024-05-31,2024-06-06,21,0.6781899130733972,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0001002,M0001,viral_campaign,benign_growth,True,sudden,2024-06-08,2024-06-23,2024-06-28,15,0.30547622442789313,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
E0002000,M0002,viral_campaign,benign_growth,True,sudden,2024-01-31,2024-02-13,2024-02-18,13,0.6231121683214539,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
E0002001,M0002,fulfillment_degradation,risk,False,sudden,2024-02-25,2024-04-04,2024-04-15,39,0.9726591307367219,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (sudden onset, risk)"
E0002002,M0002,festival_growth,benign_growth,True,gradual,2024-06-04,2024-06-17,2024-06-24,13,0.6416863290068202,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0003000,M0003,product_launch,benign_growth,True,gradual,2024-01-04,2024-02-27,2024-03-08,54,0.7114475116924767,"gmv,transaction_count,new_customer_rate","product launch (gradual onset, benign growth (hard negative))"
E0004000,M0004,festival_growth,benign_growth,True,gradual,2024-01-06,2024-01-26,2024-02-01,20,0.05175069588136464,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0004001,M0004,festival_growth,benign_growth,True,gradual,2024-02-14,2024-02-25,2024-02-28,11,0.8734307923857735,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0004002,M0004,refund_shock,risk,False,gradual,2024-04-02,2024-04-08,2024-04-18,6,0.04309980095060884,refund_rate,"refund shock (gradual onset, risk)"
E0004003,M0004,fulfillment_degradation,risk,False,gradual,2024-05-09,2024-06-18,2024-06-28,40,0.9690920410132823,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0005000,M0005,customer_mix_shift,risk,False,gradual,2024-04-27,2024-06-04,2024-06-23,38,0.16645301527339462,"new_customer_rate,chargeback_rate","customer mix shift (gradual onset, risk)"
E0006000,M0006,fulfillment_degradation,risk,False,gradual,2024-01-31,2024-02-24,2024-03-07,24,0.8777738624207369,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0006001,M0006,festival_growth,benign_growth,True,sudden,2024-03-20,2024-04-06,2024-04-11,17,0.30194114714255105,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0006002,M0006,product_launch,benign_growth,True,sudden,2024-05-04,2024-06-10,2024-06-20,37,0.5753479885300177,"gmv,transaction_count,new_customer_rate","product launch (sudden onset, benign growth (hard negative))"
E0007000,M0007,chargeback_deterioration,risk,False,gradual,2024-02-01,2024-02-26,2024-03-13,25,0.2626832257280866,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0007001,M0007,festival_growth,benign_growth,True,gradual,2024-05-27,2024-06-07,2024-06-11,11,0.17385785293448816,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0007002,M0007,fulfillment_degradation,risk,False,sudden,2024-06-17,2024-06-28,2024-06-28,24,0.7071101875876825,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (sudden onset, risk)"
E0008000,M0008,refund_shock,risk,False,gradual,2024-05-05,2024-05-13,2024-05-25,8,0.30195170620003375,refund_rate,"refund shock (gradual onset, risk)"
E0008001,M0008,product_launch,benign_growth,True,gradual,2024-06-19,2024-06-28,2024-06-28,45,0.08816630725512124,"gmv,transaction_count,new_customer_rate","product launch (gradual onset, benign growth (hard negative))"
E0009000,M0009,payment_method_shift,benign_growth,True,gradual,2024-03-29,2024-05-10,2024-05-22,42,0.32945426688040774,"payment_mix,gmv","payment method shift (gradual onset, benign growth (hard negative))"
E0009001,M0009,festival_growth,benign_growth,True,sudden,2024-05-28,2024-06-17,2024-06-23,20,0.7794854363592654,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0010000,M0010,viral_campaign,benign_growth,True,sudden,2024-03-02,2024-03-17,2024-03-20,15,0.8626623343917045,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
E0010001,M0010,fulfillment_degradation,risk,False,gradual,2024-06-16,2024-06-28,2024-06-28,22,0.1701263457509606,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0011000,M0011,festival_growth,benign_growth,True,gradual,2024-01-24,2024-01-31,2024-02-04,7,0.47679602765070733,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0011001,M0011,refund_shock,risk,False,gradual,2024-03-03,2024-03-14,2024-03-26,11,0.598014573313525,refund_rate,"refund shock (gradual onset, risk)"
E0011002,M0011,product_launch,benign_growth,True,gradual,2024-04-04,2024-05-15,2024-05-26,41,0.04358911696880315,"gmv,transaction_count,new_customer_rate","product launch (gradual onset, benign growth (hard negative))"
E0011003,M0011,fulfillment_degradation,risk,False,gradual,2024-06-02,2024-06-28,2024-06-28,26,0.2528356253317754,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0012000,M0012,compound_risk,risk,False,gradual,2024-02-05,2024-03-04,2024-03-19,28,0.8400172245899409,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0012001,M0012,compound_risk,risk,False,sudden,2024-04-08,2024-05-17,2024-06-03,39,0.8802034410443412,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (sudden onset, risk)"
E0013000,M0013,viral_campaign,benign_growth,True,sudden,2024-01-04,2024-01-14,2024-01-21,10,0.500366469917761,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
E0013001,M0013,compound_risk,risk,False,gradual,2024-01-25,2024-02-23,2024-03-12,29,0.4409859742664607,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0013002,M0013,payment_method_shift,benign_growth,True,gradual,2024-03-23,2024-04-30,2024-05-08,38,0.43405121836260624,"payment_mix,gmv","payment method shift (gradual onset, benign growth (hard negative))"
E0013003,M0013,compound_risk,risk,False,gradual,2024-05-29,2024-06-28,2024-06-28,42,0.6106804353558952,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0014000,M0014,chargeback_deterioration,risk,False,gradual,2024-01-11,2024-02-15,2024-03-06,35,0.22680404027775047,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0014001,M0014,chargeback_deterioration,risk,False,gradual,2024-03-30,2024-04-26,2024-05-10,27,0.6037586374011374,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0014002,M0014,chargeback_deterioration,risk,False,sudden,2024-06-21,2024-06-28,2024-06-28,24,0.49457343872920084,chargeback_rate,"chargeback deterioration (sudden onset, risk)"
E0015000,M0015,festival_growth,benign_growth,True,sudden,2024-02-17,2024-03-01,2024-03-07,13,0.33424669551764624,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0015001,M0015,chargeback_deterioration,risk,False,gradual,2024-04-07,2024-05-12,2024-05-23,35,0.4556792266052393,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0015002,M0015,compound_risk,risk,False,gradual,2024-06-06,2024-06-28,2024-06-28,36,0.9183090812701036,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0016000,M0016,chargeback_deterioration,risk,False,gradual,2024-01-18,2024-02-18,2024-03-02,31,0.8766220102946881,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0016001,M0016,viral_campaign,benign_growth,True,sudden,2024-05-10,2024-05-18,2024-05-26,8,0.4565789732627225,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
